Variable Importance
+----+-----------------------+---------------------------------------------+-------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Standard Deviation of Relative Importance | Feature                                                                       | Description                                                                                                                                                                                                       |
| 31 |            0.0189693  |                                           0 | 74_NumCatTE:Age:PayAmt5:PayAmt6:Status1:Status4.0                             | Out-of-fold mean of the response grouped by: ['Age', 'PayAmt5', 'PayAmt6', 'Status1', 'Status4'] using 5 folds (numeric columns are bucketed into 100 equally populated bins)                                     |
| 32 |            0.0188817  |                                           0 | 44_CVCatNumEnc:Status1:Status2:Status3:Status6:PayAmt5.mean                   | Out-of-fold mean of 'PayAmt5' grouped by: ['Status1', 'Status2', 'Status3', 'Status6'] using 5 folds                                                                                                              |
| 33 |            0.0187956  |                                           0 | 50_NumCatTE:PayAmt4:PayAmt5:PayAmt6:Status1:Status2:Status3:Status4:Status5.0 | Out-of-fold mean of the response grouped by: ['PayAmt4', 'PayAmt5', 'PayAmt6', 'Status1', 'Status2', 'Status3', 'Status4', 'Status5'] using 5 folds (numeric columns are bucketed into 10 equally populated bins) |
| 34 |            0.0187638  |                                           0 | 63_Freq:Status2                                                               | Encoding of categorical levels of feature(s) ['Status2'] to value between 0 and 1 based on their relative frequency                                                                                               |
| 35 |            0.0174436  |                                           0 | 69_NumToCatWoE:BillAmt5:PayAmt1:PayAmt3:Status2.0                             | Weight of Evidence for columns ['BillAmt5', 'PayAmt1', 'PayAmt3', 'Status2'] column #0 (numeric columns are bucketed into 25 equally populated bins)                                                              |
| 36 |            0.0167745  |                                           0 | 4_BillAmt4                                                                    | BillAmt4 (original)                                                                                                                                                                                               |
| 37 |            0.0164277  |                                           0 | 44_CVCatNumEnc:Status1:Status2:Status3:Status6:BillAmt1.mean                  | Out-of-fold mean of 'BillAmt1' grouped by: ['Status1', 'Status2', 'Status3', 'Status6'] using 5 folds                                                                                                             |
| 38 |            0.0162755  |                                           0 | 7_CreditLimit                                                                 | CreditLimit (original)                                                                                                                                                                                            |
| 39 |            0.0153432  |                                           0 | 54_ClusterID89:BillAmt3:CreditLimit                                           | Centroid assignment after segmenting columns ['BillAmt3', 'CreditLimit'] into 89 clusters                                                                                                                         |
| 40 |            0.0146063  |                                           0 | 65_Freq:CreditLimit:Status1:Status6                                           | Encoding of categorical levels of feature(s) ['CreditLimit', 'Status1', 'Status6'] to their counts                                                                                                                |
| 41 |            0.0123647  |                                           0 | 34_Freq:Status1:Status2:Status5                                               | Encoding of categorical levels of feature(s) ['Status1', 'Status2', 'Status5'] to value between 0 and 1 based on their relative frequency                                                                         |
| 42 |            0.0122368  |                                           0 | 18_Status4                                                                    | Status4 (original)                                                                                                                                                                                                |
| 43 |            0.0120624  |                                           0 | 6_BillAmt6                                                                    | BillAmt6 (original)                                                                                                                                                                                               |
| 44 |            0.0120458  |                                           0 | 60_NumToCatTE:Status1.0                                                       | Out-of-fold mean of the response grouped by: ['Status1'] using 5 folds (numeric columns are bucketed into 25 equally populated bins)                                                                              |
| 45 |            0.0117653  |                                           0 | 52_WoE:Status3.0                                                              | Weight of Evidence for columns ['Status3'] column #0                                                                                                                                                              |
| 46 |            0.011126   |                                           0 | 70_ClusterTE:ClusterID4:PayAmt1:Status1:Status2:Status3.0                     | Out-of-fold mean of the response grouped by: ['ClusterID4:PayAmt1:Status1:Status2:Status3'] using 5 folds (Clustered into 4 clusters)                                                                             |
| 47 |            0.0106782  |                                           0 | 38_CVTE:CreditLimit:Status3:Status4:Status6.0                                 | Out-of-fold mean of the response grouped by: ['CreditLimit', 'Status3', 'Status4', 'Status6'] using 5 folds                                                                                                       |
| 48 |            0.010419   |                                           0 | 5_BillAmt5                                                                    | BillAmt5 (original)                                                                                                                                                                                               |
| 49 |            0.0100772  |                                           0 | 62_ClusterTE:ClusterID94:Status1.0                                            | Out-of-fold mean of the response grouped by: ['ClusterID94:Status1'] using 5 folds (Clustered into 94 clusters)                                                                                                   |
| 50 |            0.00959913 |                                           0 | 22_Freq:CreditLimit                                                           | Encoding of categorical levels of feature(s) ['CreditLimit'] to value between 0 and 1 based on their relative frequency                                                                                           |
| 51 |            0.00955513 |                                           0 | 66_NumCatTE:CreditLimit:PayAmt2:PayAmt3:PayAmt6:Status1:Status2:Status5.0     | Out-of-fold mean of the response grouped by: ['CreditLimit', 'PayAmt2', 'PayAmt3', 'PayAmt6', 'Status1', 'Status2', 'Status5'] using 5 folds (numeric columns are bucketed into 100 equally populated bins)       |
| 52 |            0.00891408 |                                           0 | 37_Freq:Education                                                             | Encoding of categorical levels of feature(s) ['Education'] to value between 0 and 1 based on their relative frequency                                                                                             |
| 53 |            0.00769469 |                                           0 | 49_CVCatNumEnc:CreditLimit:Status1:Status2:Status4:Age.min                    | Out-of-fold min of 'Age' grouped by: ['CreditLimit', 'Status1', 'Status2', 'Status4'] using 5 folds                                                                                                               |
| 54 |            0.00725189 |                                           0 | 42_WoE:Status1.0                                                              | Weight of Evidence for columns ['Status1'] column #0                                                                                                                                                              |
| 55 |            0.00710467 |                                           0 | 36_ClusterID69:BillAmt1:PayAmt3:Status1:Status3                               | Centroid assignment after segmenting columns ['BillAmt1', 'PayAmt3', 'Status1', 'Status3'] into 69 clusters                                                                                                       |
| 56 |            0.00697536 |                                           0 | 13_PayAmt5                                                                    | PayAmt5 (original)                                                                                                                                                                                                |
| 57 |            0.00693824 |                                           0 | 8_Education                                                                   | Education (original)                                                                                                                                                                                              |
| 58 |            0.00663487 |                                           0 | 20_Status6                                                                    | Status6 (original)                                                                                                                                                                                                |
| 59 |            0.00616159 |                                           0 | 55_ClusterID27:CreditLimit:PayAmt2:PayAmt6:Status1                            | Centroid assignment after segmenting columns ['CreditLimit', 'PayAmt2', 'PayAmt6', 'Status1'] into 27 clusters                                                                                                    |
| 60 |            0.00546734 |                                           0 | 49_CVCatNumEnc:CreditLimit:Status1:Status2:Status4:Status5.min                | Out-of-fold min of 'Status5' grouped by: ['CreditLimit', 'Status1', 'Status2', 'Status4'] using 5 folds                                                                                                           |
| 61 |            0.00494133 |                                           0 | 49_CVCatNumEnc:CreditLimit:Status1:Status2:Status4:PayAmt2.min                | Out-of-fold min of 'PayAmt2' grouped by: ['CreditLimit', 'Status1', 'Status2', 'Status4'] using 5 folds                                                                                                           |
| 62 |            0.00420247 |                                           0 | 77_ClusterID40:Age:BillAmt6                                                   | Centroid assignment after segmenting columns ['Age', 'BillAmt6'] into 40 clusters                                                                                                                                 |
+----+-----------------------+---------------------------------------------+-------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
