Variable Importance Shift Between Best Iteration Model and Final Model
+----+-----------------------+--------------------------------+-------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|    |   Relative Importance |   Shift of Relative Importance | Feature                                                                       | Description                                                                                                                                                                                                                               |
| 26 |            0.0368112  |                   -0.00137804  | 41_CVTE:CreditLimit:Status1:Status2:Status4.0                                 | Out-of-fold mean of the response grouped by: ['CreditLimit', 'Status1', 'Status2', 'Status4'] using 5 folds [internal:(10, 3, None)]                                                                                                      |
| 27 |            0.0357266  |                    0.0143678   | 2_BillAmt2                                                                    | BillAmt2 (original)                                                                                                                                                                                                                       |
| 28 |            0.0316443  |                    0.00169989  | 78_NumToCatWoE:PayAmt4.0                                                      | Weight of Evidence for columns ['PayAmt4'] column #0 (numeric columns are bucketed into 100 equally populated bins)                                                                                                                       |
| 29 |            0.0302411  |                    0.0107198   | 46_InteractionSub:Age:PayAmt5                                                 | [Age] - [PayAmt5]                                                                                                                                                                                                                         |
| 30 |            0.0294594  |                    0.0187812   | 38_CVTE:CreditLimit:Status3:Status4:Status6.0                                 | Out-of-fold mean of the response grouped by: ['CreditLimit', 'Status3', 'Status4', 'Status6'] using 5 folds [internal:(100, 5, 100)]                                                                                                      |
| 31 |            0.0291915  |                    0.0138483   | 54_ClusterID89:BillAmt3:CreditLimit                                           | Centroid assignment after segmenting columns ['BillAmt3', 'CreditLimit'] into 89 clusters                                                                                                                                                 |
| 32 |            0.0265414  |                    0.0029483   | 21_Freq:Age                                                                   | Encoding of categorical levels of feature(s) ['Age'] to value between 0 and 1 based on their relative frequency                                                                                                                           |
| 33 |            0.0257816  |                    0.0140163   | 52_WoE:Status3.0                                                              | Weight of Evidence for columns ['Status3'] column #0                                                                                                                                                                                      |
| 34 |            0.0252152  |                    0.00478243  | 3_BillAmt3                                                                    | BillAmt3 (original)                                                                                                                                                                                                                       |
| 35 |            0.0250654  |                   -0.00886186  | 0_Age                                                                         | Age (original)                                                                                                                                                                                                                            |
| 36 |            0.0231101  |                    0.00850383  | 65_Freq:CreditLimit:Status1:Status6                                           | Encoding of categorical levels of feature(s) ['CreditLimit', 'Status1', 'Status6'] to their counts                                                                                                                                        |
| 37 |            0.0226082  |                    0.00618044  | 44_CVCatNumEnc:Status1:Status2:Status3:Status6:BillAmt1.mean                  | Out-of-fold mean of 'BillAmt1' grouped by: ['Status1', 'Status2', 'Status3', 'Status6'] using 5 folds [internal:('mean', 10)]                                                                                                             |
| 38 |            0.0215081  |                    0.00253886  | 74_NumCatTE:Age:PayAmt5:PayAmt6:Status1:Status4.0                             | Out-of-fold mean of the response grouped by: ['Age', 'PayAmt5', 'PayAmt6', 'Status1', 'Status4'] using 5 folds (numeric columns are bucketed into 100 equally populated bins) [internal:(100, 10, 20)]                                    |
| 39 |            0.020897   |                    0.0142621   | 20_Status6                                                                    | Status6 (original)                                                                                                                                                                                                                        |
| 40 |            0.0207166  |                    0.00394212  | 4_BillAmt4                                                                    | BillAmt4 (original)                                                                                                                                                                                                                       |
| 41 |            0.0198927  |                    0.0156902   | 77_ClusterID40:Age:BillAmt6                                                   | Centroid assignment after segmenting columns ['Age', 'BillAmt6'] into 40 clusters                                                                                                                                                         |
| 42 |            0.018888   |                    0.0068256   | 6_BillAmt6                                                                    | BillAmt6 (original)                                                                                                                                                                                                                       |
| 43 |            0.0187352  |                    0.00831627  | 5_BillAmt5                                                                    | BillAmt5 (original)                                                                                                                                                                                                                       |
| 44 |            0.0181505  |                    0.00855134  | 22_Freq:CreditLimit                                                           | Encoding of categorical levels of feature(s) ['CreditLimit'] to value between 0 and 1 based on their relative frequency                                                                                                                   |
| 45 |            0.0174574  |                    0.0085433   | 37_Freq:Education                                                             | Encoding of categorical levels of feature(s) ['Education'] to value between 0 and 1 based on their relative frequency                                                                                                                     |
| 46 |            0.0168876  |                    0.00991227  | 13_PayAmt5                                                                    | PayAmt5 (original)                                                                                                                                                                                                                        |
| 47 |            0.0156548  |                    0.00329014  | 34_Freq:Status1:Status2:Status5                                               | Encoding of categorical levels of feature(s) ['Status1', 'Status2', 'Status5'] to value between 0 and 1 based on their relative frequency                                                                                                 |
| 48 |            0.0147756  |                   -0.00963797  | 44_CVCatNumEnc:Status1:Status2:Status3:Status6:BillAmt2.mean                  | Out-of-fold mean of 'BillAmt2' grouped by: ['Status1', 'Status2', 'Status3', 'Status6'] using 5 folds [internal:('mean', 10)]                                                                                                             |
| 49 |            0.0144575  |                    0.00751927  | 8_Education                                                                   | Education (original)                                                                                                                                                                                                                      |
| 50 |            0.0138492  |                    0.00615448  | 49_CVCatNumEnc:CreditLimit:Status1:Status2:Status4:Age.min                    | Out-of-fold min of 'Age' grouped by: ['CreditLimit', 'Status1', 'Status2', 'Status4'] using 5 folds [internal:('min', None)]                                                                                                              |
| 51 |            0.0123322  |                    0.00120623  | 70_ClusterTE:ClusterID4:PayAmt1:Status1:Status2:Status3.0                     | Out-of-fold mean of the response grouped by: ['ClusterID4:PayAmt1:Status1:Status2:Status3'] using 5 folds (Clustered into 4 clusters) [internal:(4, False, 20, 5, 20)]                                                                    |
| 52 |            0.0120448  |                   -1.0198e-06  | 60_NumToCatTE:Status1.0                                                       | Out-of-fold mean of the response grouped by: ['Status1'] using 5 folds (numeric columns are bucketed into 25 equally populated bins) [internal:(100, 1, 100)]                                                                             |
| 53 |            0.0112035  |                    0.00395159  | 42_WoE:Status1.0                                                              | Weight of Evidence for columns ['Status1'] column #0                                                                                                                                                                                      |
| 54 |            0.0103786  |                   -0.00185823  | 18_Status4                                                                    | Status4 (original)                                                                                                                                                                                                                        |
| 55 |            0.00966318 |                   -0.000414012 | 62_ClusterTE:ClusterID94:Status1.0                                            | Out-of-fold mean of the response grouped by: ['ClusterID94:Status1'] using 5 folds (Clustered into 94 clusters) [internal:(94, True, 100, 1, None)]                                                                                       |
| 56 |            0.00906496 |                    0.00290337  | 55_ClusterID27:CreditLimit:PayAmt2:PayAmt6:Status1                            | Centroid assignment after segmenting columns ['CreditLimit', 'PayAmt2', 'PayAmt6', 'Status1'] into 27 clusters                                                                                                                            |
| 57 |            0.00870118 |                    0.00159651  | 36_ClusterID69:BillAmt1:PayAmt3:Status1:Status3                               | Centroid assignment after segmenting columns ['BillAmt1', 'PayAmt3', 'Status1', 'Status3'] into 69 clusters                                                                                                                               |
| 58 |            0.00807294 |                    0.0031316   | 49_CVCatNumEnc:CreditLimit:Status1:Status2:Status4:PayAmt2.min                | Out-of-fold min of 'PayAmt2' grouped by: ['CreditLimit', 'Status1', 'Status2', 'Status4'] using 5 folds [internal:('min', None)]                                                                                                          |
| 59 |            0.00711143 |                   -0.0024437   | 66_NumCatTE:CreditLimit:PayAmt2:PayAmt3:PayAmt6:Status1:Status2:Status5.0     | Out-of-fold mean of the response grouped by: ['CreditLimit', 'PayAmt2', 'PayAmt3', 'PayAmt6', 'Status1', 'Status2', 'Status5'] using 5 folds (numeric columns are bucketed into 100 equally populated bins) [internal:(100, 1, 10)]       |
| 60 |            0.00679567 |                    0.00132833  | 49_CVCatNumEnc:CreditLimit:Status1:Status2:Status4:Status5.min                | Out-of-fold min of 'Status5' grouped by: ['CreditLimit', 'Status1', 'Status2', 'Status4'] using 5 folds [internal:('min', None)]                                                                                                          |
| 61 |            0.00488652 |                   -0.0138773   | 63_Freq:Status2                                                               | Encoding of categorical levels of feature(s) ['Status2'] to value between 0 and 1 based on their relative frequency                                                                                                                       |
| 62 |            0.00460431 |                   -0.0159771   | 19_Status5                                                                    | Status5 (original)                                                                                                                                                                                                                        |
+----+-----------------------+--------------------------------+-------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
